id,game_id,sport,ts,book,away_ml,home_ml,snapshot_type,commence_time
99,nfl-555afd4a27aaa392662881cffa8f2eef,nfl,2026-09-22T17:58:45.810257,betmgm,135,-160,open,2026-09-27T17:00:00Z
100,nfl-2a529c108305ffa049d8b6cfdbaa4d36,nfl,2026-09-22T17:58:45.810257,draftkings,-305,245,open,2026-09-27T17:00:00Z
101,nfl-2a529c108305ffa049d8b6cfdbaa4d36,nfl,2026-09-22T17:58:45.810257,fanduel,-330,265,open,2026-09-27T17:00:00Z
102,nfl-2a529c108305ffa049d8b6cfdbaa4d36,nfl,2026-09-22T17:58:45.810257,betmgm,-325,260,open,2026-09-27T17:00:00Z
103,nfl-2a529c108305ffa049d8b6cfdbaa4d36,nfl,2026-09-22T17:58:45.810257,pinnacle,-306,256,open,2026-09-27T17:00:00Z
104,nfl-9d2b09e0f9b6dd5ce0d985894f4f98fa,nfl,2026-09-22T17:58:45.810257,draftkings,370,-485,open,2026-09-27T20:05:00Z
105,nfl-9d2b09e0f9b6dd5ce0d985894f4f98fa,nfl,2026-09-22T17:58:45.810257,fanduel,360,-460,open,2026-09-27T20:05:00Z
106,nfl-9d2b09e0f9b6dd5ce0d985894f4f98fa,nfl,2026-09-22T17:58:45.810257,betmgm,340,-450,open,2026-09-27T20:05:00Z
107,nfl-9d2b09e0f9b6dd5ce0d985894f4f98fa,nfl,2026-09-22T17:58:45.810257,pinnacle,311,-384,open,2026-09-27T20:05:00Z
108,nfl-f1724dead3eab61546033032fc782375,nfl,2026-09-22T17:58:45.810257,draftkings,-120,100,open,2026-09-27T20:05:00Z
109,nfl-f1724dead3eab61546033032fc782375,nfl,2026-09-22T17:58:45.810257,fanduel,-122,104,open,2026-09-27T20:05:00Z
110,nfl-f1724dead3eab61546033032fc782375,nfl,2026-09-22T17:58:45.810257,betmgm,-120,100,open,2026-09-27T20:05:00Z
111,nfl-f1724dead3eab61546033032fc782375,nfl,2026-09-22T17:58:45.810257,pinnacle,-119,106,open,2026-09-27T20:05:00Z
112,nfl-84cfca14efc21363fd605508404cf1ff,nfl,2026-09-22T17:58:45.810257,draftkings,-155,130,open,2026-09-27T20:25:00Z
113,nfl-84cfca14efc21363fd605508404cf1ff,nfl,2026-09-22T17:58:45.810257,fanduel,-158,134,open,2026-09-27T20:25:00Z
114,nfl-84cfca14efc21363fd605508404cf1ff,nfl,2026-09-22T17:58:45.810257,betmgm,-165,135,open,2026-09-27T20:25:00Z
115,nfl-84cfca14efc21363fd605508404cf1ff,nfl,2026-09-22T17:58:45.810257,pinnacle,-166,146,open,2026-09-27T20:25:00Z
116,nfl-2e523fcb0497aa689473e290eb2b97de,nfl,2026-09-22T17:58:45.810257,draftkings,160,-192,open,2026-09-27T20:25:00Z
117,nfl-2e523fcb0497aa689473e290eb2b97de,nfl,2026-09-22T17:58:45.810257,fanduel,142,-168,open,2026-09-27T20:25:00Z
118,nfl-2e523fcb0497aa689473e290eb2b97de,nfl,2026-09-22T17:58:45.810257,betmgm,150,-185,open,2026-09-27T20:25:00Z
119,nfl-2e523fcb0497aa689473e290eb2b97de,nfl,2026-09-22T17:58:45.810257,pinnacle,156,-178,open,2026-09-27T20:25:00Z
120,nfl-3bfd8bfb4b8e9a365a0877879b73b16b,nfl,2026-09-22T17:58:45.810257,draftkings,-142,120,open,2026-09-28T00:20:00Z
121,nfl-3bfd8bfb4b8e9a365a0877879b73b16b,nfl,2026-09-22T17:58:45.810257,fanduel,-142,120,open,2026-09-28T00:20:00Z
122,nfl-3bfd8bfb4b8e9a365a0877879b73b16b,nfl,2026-09-22T17:58:45.810257,betmgm,-140,115,open,2026-09-28T00:20:00Z
123,nfl-47dc7baa254659f3beb2ed2b38c207b6,nfl,2026-09-22T17:58:45.810257,draftkings,-175,145,open,2026-09-29T00:15:00Z
124,nfl-47dc7baa254659f3beb2ed2b38c207b6,nfl,2026-09-22T17:58:45.810257,fanduel,-174,146,open,2026-09-29T00:15:00Z
125,nfl-47dc7baa254659f3beb2ed2b38c207b6,nfl,2026-09-22T17:58:45.810257,betmgm,-185,150,open,2026-09-29T00:15:00Z
126,nfl-47dc7baa254659f3beb2ed2b38c207b6,nfl,2026-09-22T17:58:45.810257,pinnacle,-176,158,open,2026-09-29T00:15:00Z
