season,week,game_id,home_team,away_team,kickoff_utc,snapshot_utc,slot,markets
2023,6,2023_06_PHI_NYJ,NYJ,PHI,2023-10-15 20:25:00+00:00,2023-10-15 19:25:00+00:00,2023-10-15 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_ARI_LA,LA,ARI,2023-10-15 20:25:00+00:00,2023-10-15 19:25:00+00:00,2023-10-15 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_NYG_BUF,BUF,NYG,2023-10-16 00:20:00+00:00,2023-10-15 23:20:00+00:00,2023-10-15 23:20:00+00:00,"player_receptions,player_reception_yds"
2023,6,2023_06_DAL_LAC,LAC,DAL,2023-10-17 00:15:00+00:00,2023-10-16 23:15:00+00:00,2023-10-16 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_JAX_NO,NO,JAX,2023-10-20 00:15:00+00:00,2023-10-19 23:15:00+00:00,2023-10-19 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_DET_BAL,BAL,DET,2023-10-22 17:00:00+00:00,2023-10-22 16:00:00+00:00,2023-10-22 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_LV_CHI,CHI,LV,2023-10-22 17:00:00+00:00,2023-10-22 16:00:00+00:00,2023-10-22 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_CLE_IND,IND,CLE,2023-10-22 17:00:00+00:00,2023-10-22 16:00:00+00:00,2023-10-22 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_BUF_NE,NE,BUF,2023-10-22 17:00:00+00:00,2023-10-22 16:00:00+00:00,2023-10-22 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_WAS_NYG,NYG,WAS,2023-10-22 17:00:00+00:00,2023-10-22 16:00:00+00:00,2023-10-22 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_ATL_TB,TB,ATL,2023-10-22 17:00:00+00:00,2023-10-22 16:00:00+00:00,2023-10-22 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_ARI_SEA,SEA,ARI,2023-10-22 20:05:00+00:00,2023-10-22 19:05:00+00:00,2023-10-22 19:05:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_PIT_LA,LA,PIT,2023-10-22 20:05:00+00:00,2023-10-22 19:05:00+00:00,2023-10-22 19:05:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_GB_DEN,DEN,GB,2023-10-22 20:25:00+00:00,2023-10-22 19:25:00+00:00,2023-10-22 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_LAC_KC,KC,LAC,2023-10-22 20:25:00+00:00,2023-10-22 19:25:00+00:00,2023-10-22 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_MIA_PHI,PHI,MIA,2023-10-23 00:20:00+00:00,2023-10-22 23:20:00+00:00,2023-10-22 23:20:00+00:00,"player_receptions,player_reception_yds"
2023,7,2023_07_SF_MIN,MIN,SF,2023-10-24 00:15:00+00:00,2023-10-23 23:15:00+00:00,2023-10-23 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_TB_BUF,BUF,TB,2023-10-27 00:15:00+00:00,2023-10-26 23:15:00+00:00,2023-10-26 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_PHI_WAS,WAS,PHI,2023-10-29 17:00:00+00:00,2023-10-29 16:00:00+00:00,2023-10-29 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_JAX_PIT,PIT,JAX,2023-10-29 17:00:00+00:00,2023-10-29 16:00:00+00:00,2023-10-29 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_NYJ_NYG,NYG,NYJ,2023-10-29 17:00:00+00:00,2023-10-29 16:00:00+00:00,2023-10-29 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_NE_MIA,MIA,NE,2023-10-29 17:00:00+00:00,2023-10-29 16:00:00+00:00,2023-10-29 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_ATL_TEN,TEN,ATL,2023-10-29 17:00:00+00:00,2023-10-29 16:00:00+00:00,2023-10-29 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_MIN_GB,GB,MIN,2023-10-29 17:00:00+00:00,2023-10-29 16:00:00+00:00,2023-10-29 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_LA_DAL,DAL,LA,2023-10-29 17:00:00+00:00,2023-10-29 16:00:00+00:00,2023-10-29 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_HOU_CAR,CAR,HOU,2023-10-29 17:00:00+00:00,2023-10-29 16:00:00+00:00,2023-10-29 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_NO_IND,IND,NO,2023-10-29 17:00:00+00:00,2023-10-29 16:00:00+00:00,2023-10-29 16:00:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_CLE_SEA,SEA,CLE,2023-10-29 20:05:00+00:00,2023-10-29 19:05:00+00:00,2023-10-29 19:05:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_BAL_ARI,ARI,BAL,2023-10-29 20:25:00+00:00,2023-10-29 19:25:00+00:00,2023-10-29 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_KC_DEN,DEN,KC,2023-10-29 20:25:00+00:00,2023-10-29 19:25:00+00:00,2023-10-29 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_CIN_SF,SF,CIN,2023-10-29 20:25:00+00:00,2023-10-29 19:25:00+00:00,2023-10-29 19:25:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_CHI_LAC,LAC,CHI,2023-10-30 00:20:00+00:00,2023-10-29 23:20:00+00:00,2023-10-29 23:20:00+00:00,"player_receptions,player_reception_yds"
2023,8,2023_08_LV_DET,DET,LV,2023-10-31 00:15:00+00:00,2023-10-30 23:15:00+00:00,2023-10-30 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_TEN_PIT,PIT,TEN,2023-11-03 00:15:00+00:00,2023-11-02 23:15:00+00:00,2023-11-02 23:15:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_MIA_KC,KC,MIA,2023-11-05 14:30:00+00:00,2023-11-05 13:30:00+00:00,2023-11-05 13:30:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_WAS_NE,NE,WAS,2023-11-05 18:00:00+00:00,2023-11-05 17:00:00+00:00,2023-11-05 17:00:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_CHI_NO,NO,CHI,2023-11-05 18:00:00+00:00,2023-11-05 17:00:00+00:00,2023-11-05 17:00:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_LA_GB,GB,LA,2023-11-05 18:00:00+00:00,2023-11-05 17:00:00+00:00,2023-11-05 17:00:00+00:00,"player_receptions,player_reception_yds"
2023,9,2023_09_TB_HOU,HOU,TB,2023-11-05 18:00:00+00:00,2023-11-05 17:00:00+00:00,2023-11-05 17:00:00+00:00,"player_receptions,player_reception_yds"
